"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1008294","GLOBIOM","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1008356","GLOBIOM","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1008363","GLOBIOM","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
"1008374","GLOBIOM","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,1908.4373
"1008388","GLOBIOM","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,335.7351
"1008404","GLOBIOM","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,160.9621
"1010285","GLOBIOM","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1010347","GLOBIOM","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1010354","GLOBIOM","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
"1010365","GLOBIOM","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,1908.4373
"1010379","GLOBIOM","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,335.7351
"1010395","GLOBIOM","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,160.9621
"1010972","GLOBIOM","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1011052","GLOBIOM","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1011060","GLOBIOM","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
"1011073","GLOBIOM","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,1908.4373
"1011092","GLOBIOM","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,335.7351
"1011109","GLOBIOM","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,160.9621
"1012450","GLOBIOM","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1012532","GLOBIOM","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1012540","GLOBIOM","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
"1012553","GLOBIOM","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,1908.4373
"1012572","GLOBIOM","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,335.7351
"1012593","GLOBIOM","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,160.9621
"1019590","GLOBIOM","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1019672","GLOBIOM","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1019680","GLOBIOM","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
"1019693","GLOBIOM","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,1908.4373
"1019712","GLOBIOM","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,335.7351
"1019733","GLOBIOM","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,160.9621
"1021851","GLOBIOM","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,1043.69060001352
"1021933","GLOBIOM","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,3320.38703065593
"1021941","GLOBIOM","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0.00894812497973202
